E,MTL510,MZ 163
E,PTL711,LH 620
E,PYL111,LH 512
E,PYL302,LH 517
E,PYL552,LH422
E,PYL705,LH 619
E,PYL792,LH 623
E,SBL704,LH 520
E,TXL221,LH 526
E,TXL783,TX 120
F,AMP776,V 344
F,ASL734,LH 518
F,BBL434,LH 615
F,BBL746,LH 606
F,BBL749,LH 611
F,BML750,VI 404
F,CLL231,LH 111
F,CLL771,LH 621
F,CLL793,LH 521
F,CML521,LH421
F,CML738,LH 604
F,COL106,LH 108
F,COL226,LH 526
F,COL774,LH 512
F,CVL222,LH 114
F,CVL313,LH 519
F,CVL702,II 337
F,CVL714,II 336
F,CVL830,III 342
F,DSL811,LH 603
F,ELL225,LH 308
F,ELL303,LH 310
F,ELL411,LH 623
F,ELL723,IIA 101
F,ESL755,LH 620
F,ESL871,LH 622
F,ITL711,LH 520
F,MCL131,LH 316
F,MCL133,LH 318
F,MCL321,LH 517
F,MCL344,LH 605
F,MCL743,LH 613
F,MCL784,VI 402
F,MCL814,LH 612
F,MCL865,III 336
F,MTL122,LH 408
F,MTL390,LH 410
F,PTL712,IV 339
F,PYL202,LH 416
F,PYL558,LH422
F,PYL728,LH 614
F,PYL760,LH 619
F,RDL701,LH 602
F,RDL710,III 339
F,RDL722,LH 527
F,SBL201,LH 418
F,TXL241,LH 510
F,TXL748,TX 120
F,TXL782,VI LT 1
H,AML706,LH422
H,APL705,LH 316
H,ASL761,LH 521
H,BBL432,LH 318
H,BBL745,LH 606
H,CLL766,LH 621
H,CLL779,LH 602
H,CLL785,LH 604
H,COL362,LH 308
H,COL632,LH 308
H,COL740,IIA 201
H,COL786,IIA 106
H,CVL382,LH 614
H,CVL443,LH421
H,CVL838,VI 404
H,CVL864,LH 518
H,CVL875,LH 520
H,DSL734,LH 603
H,ELL720,IIA 101
H,ELL814,IIA 305
H,ESL714,VI 402
H,ESL732,LH 611
H,ESL737,LH 605
H,HUL211,LH 410
H,MCL132,LH 310
H,MCL136,LH 517
H,MCL347,LH 519
H,MCL748,LH 613
H,MCL771,III 336
H,MCL826,IV 339
H,MCP100,LH 111
H,MTL746,III 339
H,PYL102,LH 108
H,PYL725,LH 619
H,PYL751,LH 623
H,TXL773,LH 615
H,TXL777,TX 120
J,APL713,III 336
J,APL774,LH 606
J,ASL736,LH 611
J,BBL343,LH 512
J,BBL431,LH 410
J,BML820,VI 404
J,COL726,IIA 101
J,CRL706,LH 621
J,CVL482,VI 402
J,CVL735,II 336
J,CVL859,LH 622
J,DSL714,LH 603
J,ELL715,IIA 201
J,ELL718,IIA 106
J,ELL817,IIA 305
J,ESL300,LH421
J,ESL340,LH422
J,ESL734,III 342
J,HSL703,LH 612
J,HSL745,LH 520
J,HSL863,IV 339
J,HUL239,LH 308
J,HUL258,LH 310
J,HUL261,LH 316
J,HUL362,LH 521
J,HUL374,LH 602
J,ITL702,LH 518
J,MCL343,LH 519
J,MCL747,LH 418
J,MCL821,LH 615
J,MTL506,MZ 163
J,MTL742,LH 614
J,PTL716,LH 605
J,PYL114,LH 318
J,PYL704,LH 619
J,PYL761,LH 623
J,RDL700,LH 604
J,RDL760,LH 613
J,TXL372,LH 416
J,TXL756,TX 120
J,TXL771,LH 620
JJ,ELL409,VI LT 2
JJ,ELL791,VI LT 2
K,APL711,LH 519
K,BBL740,LH 521
K,BML860,LH 518
K,CML739,LH 602
K,COL781,IIA 201
K,CVL844,LH421
K,DSL737,LH 603
K,MCL759,LH 613
K,MTL411,LH 517
K,PYL653,LH 622
K,PYL726,LH 604
K,PYL741,LH 619
K,PYL772,LH 623
L,CVL746,LH 517
L,ELL749,IIA 305
L,PYL752,LH 604
LE,COL867,LH 318
M,APL720,LH 613
M,ASL360,LH421
M,CVL422,LH 418
M,CVL723,LH 614
M,CVL849,LH 518
M,ELL752,IIA 305
M,ELL778,IIA 201
M,ELL800,IIA 106
M,ELL888,VI LT 2
M,ESL718,LH 605
M,HSL800,LH 510
M,HUL212,LH 308
M,HUL239,LH 310
M,HUL271,LH 316
M,HUL272,LH 318
M,HUL275,LH 408
M,HUL286,LH 410
M,HUL315,LH422
M,HUL316,LH 517
M,HUL333,LH 519
M,HUL356,LH 521
M,HUL360,LH 602
M,HUL371,LH 604
M,HUL381,LH 606
M,MSL301,LH 416
M,MTL776,LH 621
M,PTL706,LH 620
M,PYL727,LH 623
M,PYL742,LH 615
M,PYL770,LH 619
M,RDL726,LH 603
M,SBL701,LH 520
M,VEL700,LH 611
PAL,MCP100,VI 301
PAL,NEN101,VI 429
PAL,NEN101,VI 430
PAL,NEN101,VI 428
PAL,NEN101,VI 427
PMP,VLFM,V 418
